--- chiEFTparameters used ---
n_mesh = 50
pmax_fm = 5.0
emax = 4
Nnmax = 20
chi_order = 4
calc_NN = true
calc_3N = true
coulomb = true
calc_EperA = false
hw = 20.0
srg = true
srg_lambda = 2.0
tbme_fmt = snt.bin
fn_tbme = tbme_emn500n4lo_2n3n_srg2.0hw20emax4.snt.bin
pottype = emn500n4lo
LambdaSFR = 700.0
target_nlj = Vector{Int64}[]
v_chi_order = 0
n_mesh_P = 10
Pmax_fm = 3.0
kF = 1.35
BetaCM = 0.0
-----------------------------
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
# of two-body states 78
# of sp states 15
# of channels 2bstate 55 #TBME = 34320
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
target: O16 Ref. => Z=8 N=8 E:     -86.8656  = E1b    329.29  + E2b   -416.16   (    -35.64  -327.21   -53.31)
EMP2    -23.15627 1b    -0.000 pp    -2.982 pn   -17.138 nn    -3.036
EMP3      0.47114 pp     0.637 hh    -1.206 ph     1.040
E_HF    -86.86559  E_MBPT(3) =    -109.5507  Eexp:     -127.619

parameters in ann_sample_params.jl will be used.
 step:        s             E0   ||Omega_1||   ||Omega_2||     ||Eta_1||     ||Eta_2||    Ncomm.  nwritten
   108   27.000  -111.84609971  2.886633e-01  1.622577e+00  1.896865e-04  6.395165e-04      1277         0
   109   27.250  -111.84611883  2.886917e-01  1.622582e+00  1.856935e-04  6.265776e-04      1288         0
   110   27.500  -111.84613750  2.887195e-01  1.622587e+00  1.817965e-04  6.138982e-04      1299         0
   111   27.750  -111.84615572  2.887467e-01  1.622592e+00  1.779921e-04  6.014733e-04      1310         0
   112   28.000  -111.84617350  2.887732e-01  1.622597e+00  1.742769e-04  5.892980e-04      1321         0
   113   28.250  -111.84619087  2.887990e-01  1.622601e+00  1.706479e-04  5.773674e-04      1332         0
   114   28.500  -111.84620782  2.888243e-01  1.622606e+00  1.671021e-04  5.656768e-04      1343         0
   115   28.750  -111.84622438  2.888490e-01  1.622610e+00  1.636369e-04  5.542214e-04      1354         0
   116   29.000  -111.84624056  2.888732e-01  1.622614e+00  1.602498e-04  5.429966e-04      1365         0
   117   29.250  -111.84625637  2.888968e-01  1.622618e+00  1.569382e-04  5.319979e-04      1376         0
   118   29.500  -111.84627181  2.889199e-01  1.622622e+00  1.537000e-04  5.212209e-04      1387         0
   119   29.750  -111.84628690  2.889425e-01  1.622626e+00  1.505330e-04  5.106612e-04      1398         0
   120   30.000  -111.84630165  2.889646e-01  1.622630e+00  1.474352e-04  5.003144e-04      1409         0
   121   30.250  -111.84631607  2.889861e-01  1.622634e+00  1.444047e-04  4.901763e-04      1420         0
   122   30.500  -111.84633016  2.890073e-01  1.622638e+00  1.414396e-04  4.802429e-04      1431         0
   123   30.750  -111.84634393  2.890279e-01  1.622641e+00  1.385383e-04  4.705100e-04      1442         0
   124   31.000  -111.84635740  2.890481e-01  1.622645e+00  1.356990e-04  4.609737e-04      1453         0
   125   31.250  -111.84637057  2.890679e-01  1.622648e+00  1.329201e-04  4.516301e-04      1464         0
   126   31.500  -111.84638345  2.890873e-01  1.622652e+00  1.302002e-04  4.424752e-04      1475         0
   127   31.750  -111.84639605  2.891062e-01  1.622655e+00  1.275377e-04  4.335054e-04      1486         0
   128   32.000  -111.84640837  2.891248e-01  1.622658e+00  1.249313e-04  4.247170e-04      1497         0
   129   32.250  -111.84642042  2.891429e-01  1.622661e+00  1.223796e-04  4.161062e-04      1508         0
   130   32.500  -111.84643220  2.891607e-01  1.622664e+00  1.198814e-04  4.076696e-04      1519         0
   131   32.750  -111.84644373  2.891781e-01  1.622667e+00  1.174353e-04  3.994037e-04      1530         0
   132   33.000  -111.84645501  2.891951e-01  1.622670e+00  1.150401e-04  3.913050e-04      1541         0
   133   33.250  -111.84646604  2.892118e-01  1.622673e+00  1.126948e-04  3.833702e-04      1552         0
   134   33.500  -111.84647683  2.892281e-01  1.622676e+00  1.103980e-04  3.755960e-04      1563         0
   135   33.750  -111.84648740  2.892441e-01  1.622679e+00  1.081489e-04  3.679791e-04      1574         0
   136   34.000  -111.84649773  2.892597e-01  1.622681e+00  1.059462e-04  3.605165e-04      1585         0
   137   34.250  -111.84650784  2.892750e-01  1.622684e+00  1.037890e-04  3.532049e-04      1596         0
   138   34.500  -111.84651773  2.892900e-01  1.622687e+00  1.016763e-04  3.460414e-04      1607         0
   139   34.750  -111.84652742  2.893047e-01  1.622689e+00  9.960699e-05  3.390230e-04      1618         0
   140   35.000  -111.84653689  2.893191e-01  1.622692e+00  9.758027e-05  3.321468e-04      1629         0
   141   35.250  -111.84654617  2.893332e-01  1.622694e+00  9.559518e-05  3.254098e-04      1640         0
   142   35.500  -111.84655524  2.893470e-01  1.622697e+00  9.365081e-05  3.188093e-04      1651         0
   143   35.750  -111.84656412  2.893605e-01  1.622699e+00  9.174630e-05  3.123426e-04      1662         0
   144   36.000  -111.84657282  2.893737e-01  1.622701e+00  8.988079e-05  3.060068e-04      1673         0
